Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;sample
11. Jul;Xanthi;Ast. Tripolis;1;2;Away win;+;+;-;3;+;-;-;1
12. Jul;Olympiakos;PAOK Saloniki;0;1;Away win;-;-;-;1;-;-;+;1
12. Jul;Panathinaikos;AEK Athens;1;3;Away win;+;+;+;4;+;-;-;1
15. Jul;AEK Athens;PAOK Saloniki;0;0;Draw;-;-;-;0;-;+;+;1
15. Jul;Aris Thessalon.;Panathinaikos;0;1;Away win;-;-;-;1;-;-;+;1
15. Jul;OFI Crete;Olympiakos;1;3;Away win;+;+;+;4;+;-;-;1
18. Jul;AEL Larissa;Xanthi;0;0;Draw;-;-;-;0;-;+;+;1
18. Jul;Ast. Tripolis;Lamia;1;1;Draw;+;-;-;2;+;-;-;1
18. Jul;Atromitos;Panionios;0;0;Draw;-;-;-;0;-;+;+;1
18. Jul;Panaitolikos;Volos NFC;1;0;Home win;-;-;-;1;-;+;-;1
19. Jul;Olympiakos;AEK Athens;3;0;Home win;+;+;-;3;-;+;-;1
19. Jul;Panathinaikos;OFI Crete;3;2;Home win;+;+;+;5;+;-;-;1
19. Jul;PAOK Saloniki;Aris Thessalon.;0;0;Draw;-;-;-;0;-;+;+;1
