Date;Local;Visitor;HG;AG;Outcome;1.5+;2.5+;3.5+;TG;BTS;hCS;aCS;HTh;HTa;FG;sample
10. Jun;Wisla Plock;Slask Wroclaw;1;2;Away win;+;+;-;3;+;-;-;1;0;L;1
14. Jun;Arka Gdynia;Wisla Krakow;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
14. Jun;Gornik Zabrze;Legia Warsaw;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
14. Jun;Jagiellonia;Piast Gliwice;0;2;Away win;+;-;-;2;-;-;+;0;1;V;1
14. Jun;Korona Kielce;Lech Poznan;0;3;Away win;+;+;-;3;-;-;+;0;0;V;1
14. Jun;KS Cracovia;Wisla Plock;1;1;Draw;+;-;-;2;+;-;-;0;0;V;1
14. Jun;Pogon Szczecin;Lechia Gdansk;1;1;Draw;+;-;-;2;+;-;-;1;1;L;1
14. Jun;Rakow Czest.;Zaglebie Lubin;2;1;Home win;+;+;-;3;+;-;-;0;0;L;1
14. Jun;Slask Wroclaw;LKS Lodz;4;0;Home win;+;+;+;4;-;+;-;3;0;L;1
19. Jun;Gornik Zabrze;Korona Kielce;3;2;Home win;+;+;+;5;+;-;-;1;0;L;1
19. Jun;Zaglebie Lubin;LKS Lodz;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
20. Jun;Piast Gliwice;Lech Poznan;0;2;Away win;+;-;-;2;-;-;+;0;0;V;1
20. Jun;Rakow Czest.;Wisla Krakow;3;1;Home win;+;+;+;4;+;-;-;1;0;L;1
20. Jun;Wisla Plock;Arka Gdynia;0;0;Draw;-;-;-;0;-;+;+;0;0;-;1
21. Jun;KS Cracovia;Jagiellonia;1;2;Away win;+;+;-;3;+;-;-;0;1;V;1
21. Jun;Legia Warsaw;Slask Wroclaw;2;0;Home win;+;-;-;2;-;+;-;1;0;L;1
21. Jun;Pogon Szczecin;Lechia Gdansk;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
23. Jun;Arka Gdynia;Zaglebie Lubin;3;2;Home win;+;+;+;5;+;-;-;2;1;L;1
23. Jun;Korona Kielce;Rakow Czest.;0;1;Away win;-;-;-;1;-;-;+;0;1;V;1
23. Jun;LKS Lodz;Gornik Zabrze;1;3;Away win;+;+;+;4;+;-;-;0;1;V;1
23. Jun;Wisla Krakow;Wisla Plock;1;0;Home win;-;-;-;1;-;+;-;1;0;L;1
